first_page,degrees
Susanna Wesley - Wikipedia,9
1990 Houston Oilers season - Wikipedia,-1
Appalachian Athletic Conference - Wikipedia,10
Rubini (footballer) - Wikipedia,-1
Matayaya - Wikipedia,-1
Auguste Simon Paris - Wikipedia,17
,14
2014 TCU Horned Frogs football team - Wikipedia,12
Chenareh - Wikipedia,18
P. Guruswamy - Wikipedia,-1
Mary Czerwinski - Wikipedia,-1
Distributed AOP - Wikipedia,-1
Sergei Yeliseyev (admiral) - Wikipedia,14
Merry-sur-Yonne - Wikipedia,-1
Gajeva planina - Wikipedia,-1
Uma Shankar Pandey - Wikipedia,26
Insight on Africa - Wikipedia,13
List of wineries in New Mexico - Wikipedia,18
John Haines - Wikipedia,22
Evolutions Television - Wikipedia,27
